feature,importance
positionID,3854777.0252604485
creativeID,3728755.291436672
positionID_te,2674420.5998464366
advertiserID,1605951.4233551025
campaignID,1369098.2213115692
appPlatform_x_connectionType,1354289.7949485779
residence_city,969410.6756219864
hometown_city,830157.0849714279
adID,357378.26818037033
user_action_count_before,220282.08695870123
appID,102245.7333984375
age,89175.12988124377
advertiserID_x_first_category,71878.15685653687
positionID_count,70410.72974734982
gender,70256.49552460396
click_hour,46124.27417898178
connectionType_x_telecomsOperator,45762.48884677887
positionType_x_first_category,36751.7084980011
creativeID_log_count,35093.59024224519
clickTime,29478.571097312386
creativeID_te,26628.511956729635
user_unique_apps_before,22153.50960960705
campaignID_count,21982.39984685398
userID_te,20707.201930999756
adID_count,17991.58025742421
creativeID_count,11817.32269659717
advertiserID_te,11712.066907130633
positionID_log_count,9957.04779621883
education,8494.566617965698
click_hour_sin,7131.686901194917
campaignID_te,7002.492548479
advertiserID_log_count,6739.443221341309
click_hour_cos,6713.2861160651955
adID_te,5707.539595084061
appID_te,5159.972790074797
advertiserID_count,4809.436989570284
appID_count,4691.338176885794
second_category,3540.4599609375
haveBaby,3116.6107997894287
adID_log_count,3066.745301111485
appPlatform,2559.8432141228404
hours_since_start,1850.9422606765002
click_day,1748.3286734850262
userID,1480.9009704589844
sitesetID,968.2733781609859
campaignID_log_count,888.9454633275745
positionType,626.7479858398438
appID_log_count,520.7917120116763
connectionType,501.34120178222656
marriageStatus,481.9295816421509
telecomsOperator,97.00228309631348
time_of_day,0.0
hometown_province,0.0
userID_log_count,0.0
positionType_x_sitesetID,0.0
userID_count,0.0
first_category,0.0
residence_province,0.0
